keywords,cluster_number
Gated recurrent unit,29
PUFF,29
Greyscale thinning,4
Pattern quantification,11
Micropalaeontology,2
Hierarchical cluster analysis,48
Colour,2
Geometric analysis,22
Forest structure,29
Complex frequency shifted recursive integration perfectly matched layer (CFS-RIPML),48
Unsharp masking,48
Tide correction,32
Deep saline reservoirs,24
Waste disposal,35
Relative threshold damping factor,7
Automated dispersion curve extraction,30
Lead isotopes,35
Mine rehabilitation,38
Multi label segmentation,48
Stokes-Brinkman,2
computational geometry,4
Hypertext markup language,6
Epidote,36
Economic geology,3
Edge diagram,8
Coherence,48
TIMESAT,2
Land cover classification,29
Analytical simulation,15
Size,7
ESA Swarm mission,34
Shuttle Radar Topography Mission,20
Macros,21
Geologic models,3
Canonical analysis,22
Groundwater level fluctuations,24
Paleochannels,33
Multibeam echosounder,41
Asymmetry,11
Organism population size evolution,48
Sequential,13
Sobol′ sensitivity analysis,22
Dynamic maps,8
Single-grain dating,29
Humidity,35
Operational models,23
Klondike,2
Datuming,2
Departure curve,30
Graphics processing unit (GPU),16
Video imaging,18
Diffusion,0
Kansas,34
Autoscala,2
Rock impact,33
Fourier series,29
Channel,16
Integral operator,16
Amaranthaceae,2
Intrinsic impedance,0
Microcracks,0
Listric fault,46
Earthquake scenarios,44
Bed shear stress,33
Unconventional gas,38
RECC,2
Decay function,48
Subsidence history plot,20
Gunn method,10
High resolution images,18
Two-space genetic algorithms,19
Crevasse modeling,26
Source terms,29
Pelites,33
Geological structure,3
Interface inversion,13
Roundness,4
Korea,34
Mixing model,23
Rock hazard rating,7
Groundwater vulnerability assessment,24
Total field formulation,29
Alteration,33
Multiple light sources,29
Spatial query,27
Regional panorama,20
Geochemical programs,37
Hydrological analysis,22
Soil water,35
Library catalogs,6
Anticline,37
Ellipsoidal geodesy,4
Intevisibility,2
Uncertain boundaries,32
Interactive data language,6
Data quality improvement,45
Cyclo-Geostrophy,2
Modern imaging,18
Diffuse infiltration,47
Data parallel computing,9
Dynamic triangulation,48
Finite-element method,10
Sequence of events,29
Buried channel,29
Distribution mode of nodes,16
3D data,31
Fault-slip methods,10
Cubed sphere,48
Stationarity,2
Thresholding,13
Line sources,29
Threshold method,10
Density difference,7
Gravimetry,33
Preconditioner,2
CUDA,34
Magma kinetics,0
Model performance index,7
Mineral prediction,38
Code,16
Decision rules,29
Trapping unknown viruses,29
Foreign function interface,16
Heat flow,47
Interactive modeling,26
Discrete-element method,10
Feature scale,29
Stretching,29
R programming environment,6
Overlapping of ray tracing and imaging kernel,48
ViSC,2
Matrix propagation,48
Stratigraphic columns,37
Beach project design,29
Universal Kriging,48
Lossless,13
Irregularly shaped reservoirs,33
FAIR data principles,45
Sunshading,2
Geospatial analysis,22
Geophysical workstations,37
Metamodeling,2
Oceanic winds,14
Eshelby's theory,48
Microcrack,2
Fractal generator,11
Projection plane,29
Conformity,48
Evolution,32
Modified,48
Ant algorithms,19
RESTFul,29
Geological time series,3
Real-time water resources assessment,24
Environmental modelling,35
Sinuosity,2
Python toolbox,29
Solubility equations,0
Navier-Stokes equations,11
MCMC,2
Pattern heterogeneity,11
Rollover,30
SST images,18
Appending technique,10
Groundwater recharge,24
Genetic algorithm (GA),19
Sentinel-1,2
Combinatorial,13
detection,17
Environmental Decision Support Tool,16
Directional analysis,22
Vertical electrical soundings,33
Support vector regression,48
Percolation and sub-percolation thresholds,7
Sensor,41
Age spectra,0
Plate kinematics,4
Variogram fitting,48
Radar precipitation,35
Statistical representation,7
Data discovery,45
Attenuation relationship,48
Program,16
Soil mechanics and dynamics,33
Porosity quantification,0
Wave height data,29
Polarizing microscope,48
Meshed maps,8
Spatial index,27
Data portal,45
Cosimulation,2
Pascal,21
Mobility patterns,48
Tsunami fatality,44
Processing flow,47
Dikes,24
Lomb Scargle Fourier transform,29
UTCHEM,2
NO,29
Basin simulation,15
Quadtree,2
Geologic mapping,3
Igneous differentiation,48
Hydro-environmental Modelling,2
remote sensing,41
Normalized phase,32
SIMPLEX,41
Extremely randomized trees,29
Height field,29
Geoscience terminology,3
Ornamental stones,33
Uncertainty estimation,32
Elastic model,23
Chemical EOR processes,35
Remote sensing. introduction,16
Probabilistic analysis,22
Semivariogram features,6
Seismic wave dispersion,44
Range image,18
Forest City Basin,24
Tracing algorithm,19
Finite element methods,48
Object-oriented visualization,13
Statistical analysis,22
3D spectrum,31
Decompaction,2
Grain separation,32
Search engine,16
Tibet,34
Application development,16
Surface of revolution,33
Cerebellar model,23
Visual data exploration,45
Sequential quadratic programming,11
Crank Nicholson,2
Plate-tectonics,2
Generation,23
Subsurface temperature,35
Closure operator,16
West Bohemia/Vogtland,29
Folding,4
3-D modeling,26
Low- geochronology,3
Conflict-free,2
Elastic constants,48
CGDK,2
Performance,29
Geochemical sampling,37
Spatial modeling,26
Spectral induced polarisation,0
Time axis,29
Bubble,32
Computer programs,6
De-aliased seismic data interpolation,44
Equivalence class,48
Cost function,16
Complex system,16
Heterotropic data,45
Double ITCZ,29
Finite difference model,23
Refraction seismics,0
Rock discontinuous cellular automaton,33
High-order consistency,30
Active service framework,16
Submarine mass movement,29
1906 San Francisco earthquake,34
Screening model,23
Compute unified device architecture (CUDA),9
Needle-probe,2
Extended Gauss Markoff model,23
Stress regime,32
Transmissivity,0
Self-taught learning,6
Multi-source data,45
Minimum variance unbiased quadratic estimation,7
Multimodal PDF,12
Two representative pores,29
Three-dimensional geometry,4
Gelation,0
V B,34
PolSAR,2
Least-squares collocation,9
DEVS-Scheme,2
Direct sampling,42
FDTD modelling,2
Linear and planar structures,4
Classification and regression tree,7
PSHA,2
Vertical and horizontal displacements,4
Borehole strainmeters,24
Volume segmentation,13
Bayesian spatial modelling,27
Accessible,6
Non-Darcian flow,47
Remote forest inventory,16
Data banks,45
Cone penetration test,42
Fault complexity,46
Spatial summary statistics,27
Computational benefits,9
Nontemporal change,32
Weight constraints,32
Chromite deposit,38
Filtering techniques,10
VR-Ocean,2
Calibration,41
Service-Oriented Architecture (SOA),9
Scale,7
Atmospheric ducting,0
3D cartography,31
Hydrograph estimation,7
Potential field modeling,26
Thresholds,7
2D shallow-water equations,31
Principal curvatures,33
Curvature analysis,22
Isofactorial models,43
Application accelerator,16
Fully implicit method,48
Uniformly minimum variance unbiased (UMVU) estimator,7
Heterogeneous transmissivity,9
Geological reconstructions,3
Unevenly spaced data,45
Small satellite,41
Earth's mantle,33
factor,7
Range charts,29
Onset time,29
Information handling,16
Plane orientation,29
Remote sensing images,41
Geometrical crystallography,4
C+ +,34
Rock physics models,23
VGA,21
Boundary element model,23
Xml,21
S-PLUS,2
3D GPR dispersive modeling,31
Shear test,42
Fluvial landscapes,14
Equivalent inclusion method,10
Porosity prediction,33
The magnetization evolution,0
Stochastic optimization,13
Multitaper spectrum,29
Map projection,8
Immersive visualization,13
III-conditioned problems,46
Markov Chain Monte Carlo,34
Conditional expectation,7
Sheet-like bodies,29
Multi-mineral segmentation,13
language,6
Contour moving,4
Edge,29
Artificial neural networks (ANNs),1
Data searching,45
Variable flowrate interference tests,42
Singularities,0
Stream,47
Quarry,38
Cutting algorithm,19
Vertical velocity,30
GeoServer,2
Earthquake faults,44
teaching and curriculum,6
Spatiotemporal analysis,22
Lagrangian simulations,15
Contours of Bingham distribution,48
Standard error,46
Real-time transport protocol,16
3D GIS,31
Uncertainty of singularity mapping,20
River network topology,9
Remotely sensed image classification,18
Geographically weighted regression kriging,7
Data structures,45
Survey,22
Spatial data infrastructures,27
Apache Lucene,21
Fluid-solid coupling,48
EM depth sounding,29
Statistical quality control charts,7
Noise reduction,32
Layer earth model,23
Lava flow,47
Multifractals,2
PATH,29
Dependent variable,7
Photo-based DEM,34
Regional-dependence,2
Geological prior information,3
San Andreas fault creep,34
Parabolic bay shape model,23
Data file,45
Numerics,48
Global terrain rendering,20
Large-eddy Simulation,15
Digital rock physics (DRP),6
Pit filling algorithm,48
Feature,29
gravity flow,47
Numerical atmospheric models,23
Sparse Decomposition,35
Isostasy,2
Profiles,22
Dictionary learning,6
Moving centers,29
Particle-tracking model,43
Sigsbee,2
Flushed zone,29
Regionalization,32
Landslide hazards,44
Matlab implementation,21
Marker events,29
Microbial degradation,35
Volume calculation,7
Digital stereocorrelation,6
Spherical polygon,4
RQ-mode factor analysis,22
Preferred orientation,48
Ichnotaxa,2
Augmented reality,48
Framework modeling,26
Seismic signal de-noising,44
Rock-fall,2
Normal and lognormal distributions,7
Profile analysis,22
Staggered grid,9
Geological modeling,26
Self-potential anomaly,46
Numerical weather/climate model,23
Red-edge,2
Instability processes,32
TLS,2
Self-potential,2
Monte Carlo simulation,34
SEAMONSTER,2
Chaos in the atmosphere,29
IR-MAD,2
Data traceability,45
Comparative studies,22
Cornerpoint grid,9
Hydrological modeling,26
Google earth engine,34
Linear octree,4
Two-sample location problem,29
Autonomous rock classification,48
Joints,33
Seismic exploration,44
Shelf seas,14
Mt. Etna,2
Magmatic-process modelling,2
Rock mass model,23
Linear regression,11
Surface heave,33
Files,12
State variables,7
Machine learning classifiers,6
Environmental risk assessment,7
Terrain analysis system (TAS),16
Vectorization,13
Imbalanced landslide samples,33
Eastern Desert (Egypt),25
Generalized Regression Neural Networks,1
Plate Boundary Observatory,33
Pogonophora recognition,32
Iron sulfides,36
Tensor dictionary learning,6
Paleoenvironmental reconstruction,20
Digital photogrammetry,20
LORICA,2
China,34
Stress-sensitive aquifers,24
COH fluids,35
Domain of influence of node,5
Langmuir,2
Grain labelling,38
Open-pit mining,38
RTM,21
KLT algorithm,19
Canonical angles,48
Landscape metrics,7
Regionalized composition,48
Invariant point,11
Merging,32
Lithological classification,37
Ringnabodi watershed,24
Graphics processing units (GPUs),16
Fire,29
Aeolian landforms,25
Surface water body,35
Boundary reconstruction,20
Spatial feature extraction,27
Material modelling,33
Geographical information science & systems,16
Functional clustering,9
Landsat ETM+,2
Al Mg disorder,32
Tectonic subsidence,36
Spatial resolution,27
Stability,32
Map operations,8
Focal beam analysis,22
Finite volume methods,48
Additive logistic normal model,23
Spatial relation,27
Mass spectrometry,0
Pre-stack seismic data,44
σ) distributions,7
Acoustic,41
Norms,7
Interactive,6
computer graphics,6
L-THIA,2
Hertz Mindlin,2
World Wind,29
Flood modeling,26
Spatial terms,27
Scale of measure,7
PCs cluster,34
Implicit modelling,48
Hypermedia,12
Temporal gravity,39
Parallel,48
Subset image,18
Labels printing,6
Ontology,12
Dynamic rupture,33
Hyperspectral,28
GeoSciML,2
European strong motion database format,16
Thermal response test,42
Stream flow,47
Bathymetries,2
MPI+OpenMP/CUDA,2
Computational grid,9
3D computer vision,31
Mid-oceanic ridges,25
EDS spectra,0
Stormwater,24
Base-metal regimes,48
Biostratigraphic events,29
Time-clustering,2
Elastic thickness,0
Paleothickness,2
Spatial data indexing,27
Ionograms,2
Complex networks,16
Conditional generative adversarial nets (CGAN),48
Multicomponent seismic data,44
High-resolution satellite images fusion,18
FAIR principles,48
Reflection seismic,44
CAD,34
Geographic Information Systems (GIS),16
Grid computing,9
Reservoir sedimentation,24
Hack's law,16
KTH method,10
Distribution analysis,22
Hydrological forecasting,3
Spatial information extraction,27
Molecular norm,48
Least squares analysis,29
Fractals,11
Coniferous forest,25
SIMD,2
Probability tomography,28
West Texas,34
Cementation,33
Pseudo-Chebyshev Spectral,28
Hydrovolcanism,2
Reflection-time maps,8
Rock fall,29
C/C++,2
Polyhedron,4
Recurrent neural network,1
Fuzzy number,29
Nitrogen transport,35
Attribute similarity,48
Multicolored spatial data,27
Autoregressive moving average,7
Windows NT,34
3D geological mapping,3
Bohemian forest,14
Irregular sampling,42
Problem visualization,13
Voronoi polygon,4
Digital drainage network,16
Process virtualization,9
Cascade classification,7
Steady waves,29
Singular value,48
Cellular automaton,48
Atmospheric emissions,35
Digital image processing,18
Energy,38
Fast fourier transform,29
Smoothing filter,33
Peak period,29
Level of detail (LOD),7
Flow and transport,47
Porosity-Depth relation,7
Biologic shape analysis,22
Error quantification,46
Coal petrography,38
Ontology engineering,12
Conceptual modeling of geologic knowledge,3
Volcanology,40
Geosteering,13
Gauss-FFT,2
Set Theory,48
Intelligent identification,16
Regionalized variables,7
Airborne particulate matter,35
Buried slope,25
Earthquake-induced landslide,44
